fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_binary,label_protocol,label_technique
74,74,74.0,0.0,90,74,79.33333333333333,7.542472332656507,40,0.048834,0.024417,0.048834,0.0,0.024417,0.0,0.0,0.0,0.0,0.0,58549,53,2,148,4873.653601998607,61.43260842855387,40.955072285702585,2,148,0,UDP,0
77,77,77.0,0.0,105,77,85.8,11.42628548566856,60,0.150232,0.037558,0.095728,0.0,0.0402342079827601,0.000156,7.8e-05,0.000156,0.0,7.8e-05,46253,53,3,231,2855.5833643964,33.28185739389744,19.96911443633846,3,231,0,UDP,0
77,77,77.0,0.0,93,77,82.33333333333333,7.542472332656507,40,0.064089,0.0320445,0.064089,0.0,0.0320445,0.0,0.0,0.0,0.0,0.0,44243,53,2,154,3854.015509681849,46.809904975892906,31.206603317261937,2,154,0,UDP,0
1399,73,674.1428571428571,561.2919862937214,1399,69,599.0666666666667,552.7120367384408,140,0.384497,0.0274640714285714,0.089067,0.0,0.0340315073686225,0.336232,0.0560386666666666,0.170492,0.0,0.0594738377654877,33600,443,7,4719,23370.79353024861,39.0120078960304,18.205603684814182,7,4719,0,UDP,0
71,71,71.0,0.0,167,71,106.6,43.82510695936748,60,0.056306,0.0140765,0.056243,0.0,0.0243448537118217,6.3e-05,3.15e-05,6.3e-05,0.0,3.15e-05,45473,53,3,213,9466.131495755337,88.80048307462792,53.28028984477675,3,213,0,UDP,0
1399,71,160.38095238095238,258.096968892457,1399,68,1064.886925795053,562.1173197893452,1260,28.015832,0.0993469219858156,26.812967,0.0,1.593686485275261,27.948707,0.4507855967741935,26.893628,0.0,3.385818734706796,57440,443,63,10104,10756.882037270929,10.101431219319132,2.248728504654083,63,10104,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.202595,0.1012975,0.202595,0.0,0.1012975,0.0,0.0,0.0,0.0,0.0,40289,123,2,180,1332.7081122436389,14.807867913818209,9.871911942545472,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.21682,0.10841,0.21682,0.0,0.10841,0.0,0.0,0.0,0.0,0.0,59307,123,2,180,1245.2725763305968,13.836361959228851,9.22424130615257,2,180,0,UDP,0
70,70,70.0,0.0,98,70,78.8,11.42628548566856,60,0.1551,0.038775,0.107319,0.0,0.0440827198174069,0.000139,6.95e-05,0.000139,0.0,6.95e-05,34594,53,3,210,2540.2965828497745,32.23726627981947,19.342359767891683,3,210,0,UDP,0
88,88,88.0,0.0,128,88,101.33333333333331,18.856180831641264,40,0.040836,0.020418,0.040836,0.0,0.020418,0.0,0.0,0.0,0.0,0.0,34793,53,2,176,7444.411793515526,73.46459006758742,48.97639337839162,2,176,0,UDP,0
1399,71,155.14542190305207,247.896425426758,1399,67,1219.980326696077,445.678819689704,22280,78.488799,0.0093595038158836,7.740974,0.0,0.2226115744878492,78.488799,0.0705200350404312,7.751007,0.0,0.6081722015331157,37431,443,1114,172832,130362.23168607792,106.85601139087376,14.19310798729383,1114,172832,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.213983,0.1069915,0.213983,0.0,0.1069915,0.0,0.0,0.0,0.0,0.0,46471,123,2,180,1261.7824780473215,14.019805311636905,9.346536874424604,2,180,0,UDP,0
71,71,71.0,0.0,199,71,119.0,59.00508452667448,60,0.058973,0.01474325,0.041579,0.0,0.0169180796394714,0.000504,0.000252,0.000504,0.0,0.000252,40286,53,3,213,10089.362928797926,84.78456242687332,50.87073745612399,3,213,0,UDP,0
1399,73,351.1666666666667,494.5359497099837,1399,68,850.5263157894736,615.8938193194508,240,0.403433,0.0109035945945945,0.089999,0.0,0.0237465651780329,0.337208,0.0306552727272727,0.155839,0.0,0.0457339980581204,57455,443,12,4214,80112.43502638604,94.19160058795389,29.744715975143333,12,4214,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.202736,0.101368,0.202736,0.0,0.101368,0.0,0.0,0.0,0.0,0.0,46511,123,2,180,1331.7812327361692,14.797569252624102,9.865046168416068,2,180,0,UDP,0
90,90,90.0,0.0,90,90,90.0,0.0,40,0.2035,0.10175,0.2035,0.0,0.10175,0.0,0.0,0.0,0.0,0.0,55548,123,2,180,1326.781326781327,14.742014742014742,9.82800982800983,2,180,0,UDP,0
72,72,72.0,0.0,100,72,80.8,11.42628548566856,60,0.154914,0.0387285,0.14599,0.0,0.0620318187122544,7.6e-05,3.8e-05,7.6e-05,0.0,3.8e-05,52503,53,3,216,2607.8985759840944,32.27597247505067,19.36558348503041,3,216,0,UDP,0
