fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_technique,label_binary,label_protocol
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685041,3.258410955,5.533968,0,2.055392141,71.685041,3.258410955,5.533968,0,2.055392141,36290,9948,23,2116,29.51801339,0.320847972,0.320847972,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685297,3.258422591,5.53425,0,2.055415338,71.685297,3.258422591,5.53425,0,2.055415338,36290,9949,23,2116,29.51790797,0.320846826,0.320846826,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685511,3.258432318,5.534313,0,2.055469733,71.685511,3.258432318,5.534313,0,2.055469733,36290,9950,23,2116,29.51781986,0.320845868,0.320845868,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685278,3.258421727,5.533583,0,2.05521613,71.685278,3.258421727,5.533583,0,2.05521613,36290,9951,23,2116,29.5179158,0.320846911,0.320846911,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685766,3.258443909,5.533772,0,2.055439439,71.685766,3.258443909,5.533772,0,2.055439439,36290,9952,23,2116,29.51771486,0.320844727,0.320844727,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685474,3.258430636,5.534041,0,2.055429767,71.685474,3.258430636,5.534041,0,2.055429767,36290,9953,23,2116,29.51783509,0.320846034,0.320846034,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685439,3.258429045,5.533434,0,2.055436734,71.685439,3.258429045,5.533434,0,2.055436734,36290,9954,23,2116,29.5178495,0.32084619,0.32084619,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685592,3.258436,5.533924,0,2.055443582,71.685592,3.258436,5.533924,0,2.055443582,36290,9955,23,2116,29.5177865,0.320845505,0.320845505,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418495,6.038045,6.877451,0,1.910871293,66.418495,6.038045,6.877451,0,1.910871293,36290,9956,12,1104,16.62187618,0.180672567,0.180672567,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418771,6.038070091,6.876933,0,1.910872483,66.418771,6.038070091,6.876933,0,1.910872483,36290,9957,12,1104,16.62180711,0.180671816,0.180671816,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418372,6.038033818,6.876625,0,1.910857794,66.418372,6.038033818,6.876625,0,1.910857794,36290,9958,12,1104,16.62190696,0.180672902,0.180672902,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418381,6.038034636,6.876642,0,1.910858681,66.418381,6.038034636,6.876642,0,1.910858681,36290,9959,12,1104,16.62190471,0.180672877,0.180672877,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418528,6.038048,6.876865,0,1.910865653,66.418528,6.038048,6.876865,0,1.910865653,36290,9960,12,1104,16.62186792,0.180672477,0.180672477,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418108,6.038009818,6.877257,0,1.910859282,66.418108,6.038009818,6.877257,0,1.910859282,36290,9961,12,1104,16.62197303,0.18067362,0.18067362,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418127,6.038011545,6.877739,0,1.910865787,66.418127,6.038011545,6.877739,0,1.910865787,36290,9962,12,1104,16.62196828,0.180673568,0.180673568,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418591,6.038053727,6.877387,0,1.91087434,66.418591,6.038053727,6.877387,0,1.91087434,36290,9963,12,1104,16.62185216,0.180672306,0.180672306,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418431,6.038039182,6.87714,0,1.910867699,66.418431,6.038039182,6.87714,0,1.910867699,36290,9964,12,1104,16.6218922,0.180672741,0.180672741,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418626,6.038056909,6.876716,0,1.910868404,66.418626,6.038056909,6.876716,0,1.910868404,36290,9965,12,1104,16.6218434,0.180672211,0.180672211,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418634,6.038057636,6.876622,0,1.910867831,66.418634,6.038057636,6.876622,0,1.910867831,36290,9966,12,1104,16.62184139,0.180672189,0.180672189,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418715,6.038065,6.876339,0,1.910866221,66.418715,6.038065,6.876339,0,1.910866221,36290,9967,12,1104,16.62182112,0.180671969,0.180671969,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418634,6.038057636,6.875699,0,1.91085625,66.418634,6.038057636,6.875699,0,1.91085625,36290,9968,12,1104,16.62184139,0.180672189,0.180672189,12,1104,2,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,240,66.418781,6.038071,6.875902,0,1.91086331,66.418781,6.038071,6.875902,0,1.91086331,36290,9969,12,1104,16.62180461,0.180671789,0.180671789,12,1104,2,1,UDP
